teamInnings,scorecard,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
Namibia,T20I # 1823,1,Michael van Lingen,c Pramod Madushan b Chameera,3,6,0,0,50.00
Namibia,T20I # 1823,2,Divan la Cock,c Shanaka b Pramod Madushan,9,9,1,0,100.00
Namibia,T20I # 1823,3,Jan Nicol Loftie-Eaton,c †Mendis b Karunaratne,20,12,1,2,166.66
Namibia,T20I # 1823,4,Stephan Baard,c DM de Silva b Pramod Madushan,26,24,2,0,108.33
Namibia,T20I # 1823,5,Gerhard Erasmus(c),c Gunathilaka b PWH de Silva,20,24,0,0,83.33
Namibia,T20I # 1823,6,Jan Frylinck,run out (Gunathilaka/†Mendis),44,28,4,0,157.14
Namibia,T20I # 1823,7,David Wiese,c †Mendis b Theekshana,0,1,0,0,0.00
Namibia,T20I # 1823,8,JJ Smit,not out ,31,16,2,2,193.75
Sri Lanka,T20I # 1823,1,Pathum Nissanka,c Smit b Shikongo,9,10,1,0,90.00
Sri Lanka,T20I # 1823,2,Kusal Mendis†,c †Green b Wiese,6,6,0,0,100.00
Sri Lanka,T20I # 1823,3,Dhananjaya de Silva,c Shikongo b Frylinck,12,11,1,0,109.09
Sri Lanka,T20I # 1823,4,Danushka Gunathilaka,c †Green b Shikongo,0,1,0,0,0.00
Sri Lanka,T20I # 1823,5,Bhanuka Rajapaksa,c la Cock b Scholtz,20,21,2,0,95.23
Sri Lanka,T20I # 1823,6,Dasun Shanaka(c),c †Green b Frylinck,29,23,2,1,126.08
Sri Lanka,T20I # 1823,7,Wanindu Hasaranga de Silva,c Loftie-Eaton b Scholtz,4,8,0,0,50.00
Sri Lanka,T20I # 1823,8,Chamika Karunaratne,c Baard b Smit,5,8,0,0,62.50
Sri Lanka,T20I # 1823,9,Pramod Madushan,run out (van Lingen/†Green),0,0,0,0,-
Sri Lanka,T20I # 1823,10,Dushmantha Chameera,c Erasmus b Wiese,8,15,0,0,53.33
Sri Lanka,T20I # 1823,11,Maheesh Theekshana,not out ,11,11,0,1,100.00
U.A.E.,T20I # 1825,1,Chirag Suri,c †Edwards b van der Merwe,12,20,1,0,60.00
U.A.E.,T20I # 1825,2,Muhammad Waseem,c Pringle b Klaassen,41,47,1,2,87.23
U.A.E.,T20I # 1825,3,Kashif Daud, b Pringle,15,14,0,1,107.14
U.A.E.,T20I # 1825,4,Vriitya Aravind†,c Klaassen b de Leede,18,21,0,0,85.71
U.A.E.,T20I # 1825,5,Zawar Farid,run out (Ackermann/†Edwards),2,4,0,0,50.00
U.A.E.,T20I # 1825,6,Basil Hameed,c van der Merwe b de Leede,4,4,1,0,100.00
U.A.E.,T20I # 1825,7,Chundangapoyil Rizwan(c), b de Leede,1,2,0,0,50.00
U.A.E.,T20I # 1825,8,Aayan Afzal Khan,c Cooper b Klaassen,5,7,0,0,71.42
U.A.E.,T20I # 1825,9,Karthik Meiyappan,not out ,0,0,0,0,-
U.A.E.,T20I # 1825,10,Junaid Siddique,not out ,0,1,0,0,0.00
Netherlands,T20I # 1825,1,Vikramjit Singh, b Basil Hameed,10,7,2,0,142.85
Netherlands,T20I # 1825,2,Max O'Dowd, b Junaid Siddique,23,18,3,1,127.77
Netherlands,T20I # 1825,3,Bas de Leede,c Rizwan b Meiyappan,14,18,1,0,77.77
Netherlands,T20I # 1825,4,Colin Ackermann,c Junaid Siddique b Aayan Afzal Khan,17,19,1,0,89.47
Netherlands,T20I # 1825,5,Tom Cooper,lbw b Junaid Siddique,8,16,0,0,50.00
Netherlands,T20I # 1825,6,Scott Edwards(c)†,not out ,16,19,0,0,84.21
Netherlands,T20I # 1825,7,Roelof van der Merwe, b Junaid Siddique,0,2,0,0,0.00
Netherlands,T20I # 1825,8,Tim Pringle, b Zahoor Khan,15,16,0,0,93.75
Netherlands,T20I # 1825,9,Logan van Beek,not out ,4,4,0,0,100.00
Scotland,T20I # 1826,1,George Munsey,not out ,66,53,9,0,124.52
Scotland,T20I # 1826,2,Michael Jones, b Holder,20,17,3,0,117.64
Scotland,T20I # 1826,3,Matthew Cross†,c Brooks b Holder,3,5,0,0,60.00
Scotland,T20I # 1826,4,Richie Berrington(c),c Mayers b Joseph,16,14,0,1,114.28
Scotland,T20I # 1826,5,Calum MacLeod,c King b Smith,23,14,4,0,164.28
Scotland,T20I # 1826,6,Michael Leask, b Joseph,4,6,0,0,66.66
Scotland,T20I # 1826,7,Chris Greaves,not out ,16,11,2,0,145.45
West Indies,T20I # 1826,1,Kyle Mayers,c Munsey b Davey,20,13,3,1,153.84
West Indies,T20I # 1826,2,Evin Lewis,c Jones b Wheal,14,13,1,1,107.69
West Indies,T20I # 1826,3,Brandon King, b Watt,17,15,3,0,113.33
West Indies,T20I # 1826,4,Nicholas Pooran(c)†, b Leask,5,9,0,0,55.55
West Indies,T20I # 1826,5,Shamarh Brooks,c Leask b Wheal,4,9,0,0,44.44
West Indies,T20I # 1826,6,Rovman Powell,c MacLeod b Leask,5,6,0,0,83.33
West Indies,T20I # 1826,7,Jason Holder,c Greaves b Sharif,38,33,4,1,115.15
West Indies,T20I # 1826,8,Akeal Hosein,run out (†Cross/Leask),1,1,0,0,100.00
West Indies,T20I # 1826,9,Alzarri Joseph,c †Cross b Watt,0,1,0,0,0.00
West Indies,T20I # 1826,10,Odean Smith,c Greaves b Watt,5,8,0,0,62.50
West Indies,T20I # 1826,11,Obed McCoy,not out ,2,3,0,0,66.66
Zimbabwe,T20I # 1828,1,Regis Chakabva†,c †Tucker b Little,0,2,0,0,0.00
Zimbabwe,T20I # 1828,2,Craig Ervine(c),st †Tucker b Simi Singh,9,12,1,0,75.00
Zimbabwe,T20I # 1828,3,Wessly Madhevere,c Delany b Little,22,19,4,0,115.78
Zimbabwe,T20I # 1828,4,Sean Williams,c Tector b Simi Singh,12,11,0,1,109.09
Zimbabwe,T20I # 1828,5,Sikandar Raza, b Adair,82,48,5,5,170.83
Zimbabwe,T20I # 1828,6,Milton Shumba,c Little b Adair,16,14,1,0,114.28
Zimbabwe,T20I # 1828,7,Ryan Burl,c Adair b Little,1,4,0,0,25.00
Zimbabwe,T20I # 1828,8,Luke Jongwe,not out ,20,10,3,0,200.00
Ireland,T20I # 1828,1,Paul Stirling, b Ngarava,0,2,0,0,0.00
Ireland,T20I # 1828,2,Andy Balbirnie(c),c Ervine b Muzarabani,3,4,0,0,75.00
Ireland,T20I # 1828,3,Lorcan Tucker†, b Ngarava,11,11,2,0,100.00
Ireland,T20I # 1828,4,Harry Tector,c Ervine b Muzarabani,1,4,0,0,25.00
Ireland,T20I # 1828,5,Curtis Campher, b Williams,27,22,1,0,122.72
Ireland,T20I # 1828,6,George Dockrell, b Sikandar Raza,24,20,3,0,120.00
Ireland,T20I # 1828,7,Gareth Delany,c Shumba b Chatara,24,20,1,1,120.00
Ireland,T20I # 1828,8,Mark Adair,c Sikandar Raza b Muzarabani,9,10,0,1,90.00
Ireland,T20I # 1828,9,Simi Singh, b Chatara,0,1,0,0,0.00
Ireland,T20I # 1828,10,Barry McCarthy,not out ,22,16,1,2,137.50
Ireland,T20I # 1828,11,Josh Little,not out ,7,11,1,0,63.63
Namibia,T20I # 1830,1,Michael van Lingen,c de Leede b Ackermann,20,19,3,0,105.26
Namibia,T20I # 1830,2,Divan la Cock,c de Leede b Pringle,0,2,0,0,0.00
Namibia,T20I # 1830,3,Stephan Baard,c Klaassen b van der Merwe,19,22,0,0,86.36
Namibia,T20I # 1830,4,Jan Nicol Loftie-Eaton,c †Edwards b van Meekeren,0,2,0,0,0.00
Namibia,T20I # 1830,5,Jan Frylinck,c van Meekeren b de Leede,43,48,1,1,89.58
Namibia,T20I # 1830,6,Gerhard Erasmus(c), b de Leede,16,18,0,0,88.88
Namibia,T20I # 1830,7,David Wiese,not out ,11,5,1,0,220.00
Namibia,T20I # 1830,8,JJ Smit,not out ,5,4,1,0,125.00
Netherlands,T20I # 1830,1,Max O'Dowd,run out (Erasmus),35,35,1,1,100.00
Netherlands,T20I # 1830,2,Vikramjit Singh,c Loftie-Eaton b Scholtz,39,31,3,2,125.80
Netherlands,T20I # 1830,3,Bas de Leede,not out ,30,30,2,0,100.00
Netherlands,T20I # 1830,4,Tom Cooper,c van Lingen b Smit,6,6,1,0,100.00
Netherlands,T20I # 1830,5,Colin Ackermann,c Erasmus b Smit,0,2,0,0,0.00
Netherlands,T20I # 1830,6,Scott Edwards(c)†,c Loftie-Eaton b Frylinck,1,5,0,0,20.00
Netherlands,T20I # 1830,7,Tim Pringle,not out ,8,9,0,0,88.88
Sri Lanka,T20I # 1832,1,Pathum Nissanka,c Basil Hameed b Zahoor Khan,74,60,6,2,123.33
Sri Lanka,T20I # 1832,2,Kusal Mendis†,lbw b Aryan Lakra,18,13,2,0,138.46
Sri Lanka,T20I # 1832,3,Dhananjaya de Silva,run out (Muhammad Waseem/Aayan Afzal Khan),33,21,3,1,157.14
Sri Lanka,T20I # 1832,4,Bhanuka Rajapaksa,c Kashif Daud b Meiyappan,5,8,0,0,62.50
Sri Lanka,T20I # 1832,5,Charith Asalanka,c †Aravind b Meiyappan,0,1,0,0,0.00
Sri Lanka,T20I # 1832,6,Dasun Shanaka(c), b Meiyappan,0,1,0,0,0.00
Sri Lanka,T20I # 1832,7,Wanindu Hasaranga de Silva,c Basil Hameed b Aayan Afzal Khan,2,3,0,0,66.66
Sri Lanka,T20I # 1832,8,Chamika Karunaratne,c Kashif Daud b Zahoor Khan,8,11,1,0,72.72
Sri Lanka,T20I # 1832,9,Pramod Madushan,not out ,1,1,0,0,100.00
Sri Lanka,T20I # 1832,10,Dushmantha Chameera,not out ,1,1,0,0,100.00
U.A.E.,T20I # 1832,1,Muhammad Waseem, b Chameera,2,4,0,0,50.00
U.A.E.,T20I # 1832,2,Chirag Suri, b Pramod Madushan,14,19,3,0,73.68
U.A.E.,T20I # 1832,3,Aryan Lakra, b Chameera,1,3,0,0,33.33
U.A.E.,T20I # 1832,4,Chundangapoyil Rizwan(c),c Rajapaksa b Chameera,1,3,0,0,33.33
U.A.E.,T20I # 1832,5,Vriitya Aravind†,lbw b PWH de Silva,9,18,1,0,50.00
U.A.E.,T20I # 1832,6,Basil Hameed,c DM de Silva b Shanaka,2,6,0,0,33.33
U.A.E.,T20I # 1832,7,Aayan Afzal Khan, b PWH de Silva,19,21,1,0,90.47
U.A.E.,T20I # 1832,8,Kashif Daud,lbw b PWH de Silva,0,4,0,0,0.00
U.A.E.,T20I # 1832,9,Karthik Meiyappan,st †Mendis b Theekshana,4,8,0,0,50.00
U.A.E.,T20I # 1832,10,Junaid Siddique,c Nissanka b Theekshana,18,16,1,1,112.50
